Product_name,Product_url,brand,Sale_price,MRP,Discount_percentage,Number of ratings,Number_of_reviews
SAMSUNG 6.5 kg Monsoon drying feature Fully Automatic Top Load Silver, https://www.flipkart.com/samsung-6-5-kg-monsoon-drying-feature-fully-automatic-top-load-silver/p/itme1ba4fde1563a?pid=WMNFV6ZYDFQFJGT5,SAMSUNG,"14,490","16,800",13,"69,408","7,009"
LG 6.5 kg 5 Star Inverter Fully Automatic Top Load Silver, https://www.flipkart.com/lg-6-5-kg-5-star-inverter-fully-automatic-top-load-silver/p/itme4cacbedc1c8f?pid=WMNFZX5BMUYJMPRB,LG,"16,490","18,490",10,"12,790","1,193"
"Whirlpool 7 kg 5 Star,Turbo Scrub Technology Semi Automatic Top Load Grey", https://www.flipkart.com/whirlpool-7-kg-5-star-turbo-scrub-technology-semi-automatic-top-load-grey/p/itmc2358c606b038?pid=WMNFH8WMMYH8WVAQ,Whirlpool,"9,490","11,250",15,"33,283","3,621"
Midea 6 kg Fully Automatic Front Load with In-built Heater White, https://www.flipkart.com/midea-6-kg-fully-automatic-front-load-in-built-heater-white/p/itmf4w6ktjacazpc?pid=WMNF4PB8AE59FRHT,Midea,"19,990","23,990",16,"15,556","2,900"
"MarQ By Flipkart 6 kg 5 Star Rating Semi Automatic Top Load White, Maroon", https://www.flipkart.com/marq-flipkart-6-kg-5-star-rating-semi-automatic-top-load-white-maroon/p/itm125a12d8f3fef?pid=WMNFMKPKZYYJAQWD,MarQ,"7,490","10,010",25,"39,395","4,866"
Whirlpool 6 kg Fully Automatic Top Load Grey, https://www.flipkart.com/whirlpool-6-kg-fully-automatic-top-load-grey/p/itmcb6f9bac28d1a?pid=WMNFYGG2RXGZGGFG,Whirlpool,"13,240","16,800",21,661,60
IFB 6 kg Fully Automatic Front Load with In-built Heater White, https://www.flipkart.com/ifb-6-kg-fully-automatic-front-load-in-built-heater-white/p/itm02af4d6395b79?pid=WMNFVFQF4CD2HFYR,IFB,"22,990","25,490",9,"16,075","2,213"
IFB 6 kg 5 Star Fully Automatic Front Load with In-built Heater White, https://www.flipkart.com/ifb-6-kg-5-star-fully-automatic-front-load-in-built-heater-white/p/itmehpcrfmzed87b?pid=WMNEHPCR5BJHXPRT,IFB,"22,290","23,990",7,"46,742","5,571"
SAMSUNG 6 kg 5 star Inverter Fully Automatic Front Load with In-built Heater White, https://www.flipkart.com/samsung-6-kg-5-star-inverter-fully-automatic-front-load-in-built-heater-white/p/itm2ee8237807ed7?pid=WMNFP6FWBB4AMHYJ,SAMSUNG,"22,490","26,500",15,"6,935",872
"LG 7 kg 4 Star Semi Automatic Top Load Grey, White", https://www.flipkart.com/lg-7-kg-4-star-semi-automatic-top-load-grey-white/p/itm32d84fc4a61c9?pid=WMNFKRJRJCJGJJ2A,LG,"10,890","13,490",19,"11,814","1,150"
Whirlpool 7 kg Fully Automatic Top Load Grey, https://www.flipkart.com/whirlpool-7-kg-fully-automatic-top-load-grey/p/itmda9428f9a44c8?pid=WMNFYGG2CZMZXG7S,Whirlpool,"14,990","18,950",20,661,60
